ticket_id,title,description,issue_type,customer_type,channel,previous_complaints,hours_open,impact_level,priority
TKT-10000,Intermittent login failures reported,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Login Issue,Premium,Email,1,13.86,High,Medium
TKT-10001,Intermittent login failures reported,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Payment Issue,Premium,Phone Call,5,1.5,Medium,Medium
TKT-10002,Export to PDF producing blank file,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Technical Bug,Premium,Chat,1,15.42,Medium,Medium
TKT-10003,Feature not working as expected,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Other,Premium,Chat,1,8.22,Medium,Medium
TKT-10004,Intermittent login failures reported,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Regular,Phone Call,4,2.5,Medium,Medium
TKT-10005,Dashboard displaying incorrect statistics,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Login Issue,Premium,Email,6,5.33,Medium,Medium
TKT-10006,Change password label text suggestion,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Feature Request,Regular,Phone Call,2,15.9,Low,Low
TKT-10007,Critical payment failure affecting all users,A premium customer's account was suspended without warning. They have an active subscription and are unable to access any service. Client is threatening legal action.,Security Problem,Premium,Phone Call,6,0.65,High,High
TKT-10008,Report generation taking too long,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Account Suspension,Regular,Chat,2,16.61,High,Medium
TKT-10009,Database corruption – data loss risk,A premium customer's account was suspended without warning. They have an active subscription and are unable to access any service. Client is threatening legal action.,Server Down,Premium,Phone Call,13,2.0,High,High
TKT-10010,Email notifications not arriving,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Login Issue,Regular,Phone Call,3,15.19,Medium,Medium
TKT-10011,Report generation taking too long,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Technical Bug,Premium,Email,1,17.36,Medium,Medium
TKT-10012,Update FAQ section,There is a small spelling error on the help page – 'recieve' should be 'receive'. Minor but worth fixing.,Login Issue,Regular,Email,3,40.45,High,Low
TKT-10013,Payment processing delayed by 2-3 minutes,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Account Suspension,Regular,Chat,3,3.12,Medium,Medium
TKT-10014,Account suspended unexpectedly – urgent,A premium customer's account was suspended without warning. They have an active subscription and are unable to access any service. Client is threatening legal action.,Account Suspension,Premium,Phone Call,4,3.48,High,High
TKT-10015,Report generation taking too long,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Technical Bug,Premium,Chat,5,18.45,Medium,Medium
TKT-10016,API endpoint returning 500 errors in production,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Login Issue,Premium,Chat,12,3.79,Medium,High
TKT-10017,Request for additional report filter,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Technical Bug,Regular,Chat,1,22.76,Medium,Low
TKT-10018,Request for additional report filter,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Server Down,Regular,Email,2,34.35,Low,Low
TKT-10019,Critical payment failure affecting all users,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Payment Issue,Premium,Phone Call,12,0.88,Medium,High
TKT-10020,Critical payment failure affecting all users,Our production server has gone completely offline. All users are unable to access the system. This is causing massive revenue loss every minute. Immediate intervention required.,Account Suspension,Premium,Phone Call,6,1.11,High,High
TKT-10021,Critical bug causing data exposure,A premium customer's account was suspended without warning. They have an active subscription and are unable to access any service. Client is threatening legal action.,Technical Bug,Regular,Phone Call,15,1.63,Medium,High
TKT-10022,Export to PDF producing blank file,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Technical Bug,Regular,Email,6,13.42,Medium,Medium
TKT-10023,Dashboard displaying incorrect statistics,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Login Issue,Premium,Chat,4,3.66,Medium,Medium
TKT-10024,Critical payment failure affecting all users,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Account Suspension,Regular,Email,4,0.2,High,High
TKT-10025,Request to add dark mode,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Feature Request,Regular,Email,3,65.46,Low,Low
TKT-10026,Improve onboarding guide,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Feature Request,Regular,Email,3,15.37,Low,Low
TKT-10027,Two-factor authentication failing sometimes,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Security Problem,Premium,Phone Call,5,10.06,High,Medium
TKT-10028,Payment gateway rejected all transactions,Our production server has gone completely offline. All users are unable to access the system. This is causing massive revenue loss every minute. Immediate intervention required.,Account Suspension,Premium,Email,4,2.7,High,High
TKT-10029,Tooltip text unclear on settings page,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Feature Request,Premium,Phone Call,0,33.09,Low,Low
TKT-10030,Email notifications not arriving,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Security Problem,Premium,Chat,3,8.52,Medium,Medium
TKT-10031,Payment processing delayed by 2-3 minutes,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Technical Bug,Regular,Chat,1,2.39,Medium,Medium
TKT-10032,API endpoint returning 500 errors in production,Our production server has gone completely offline. All users are unable to access the system. This is causing massive revenue loss every minute. Immediate intervention required.,Server Down,Premium,Chat,5,1.75,High,High
TKT-10033,Two-factor authentication failing sometimes,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Security Problem,Regular,Chat,6,2.97,High,Medium
TKT-10034,Critical payment failure affecting all users,A premium customer's account was suspended without warning. They have an active subscription and are unable to access any service. Client is threatening legal action.,Payment Issue,Premium,Phone Call,6,2.87,High,High
TKT-10035,Request for additional report filter,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Feature Request,Regular,Chat,0,11.18,Low,Low
TKT-10036,API endpoint returning 500 errors in production,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Security Problem,Premium,Phone Call,14,1.77,High,High
TKT-10037,Critical payment failure affecting all users,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Security Problem,Regular,Email,12,2.21,High,High
TKT-10038,Intermittent login failures reported,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Login Issue,Premium,Chat,1,7.72,Medium,Medium
TKT-10039,Minor UI alignment issue on mobile,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Other,Regular,Phone Call,1,64.05,Low,Low
TKT-10040,Update FAQ section,The onboarding tutorial skips some advanced features. New users are confused about how to set up automated workflows.,Feature Request,Regular,Chat,0,30.63,Low,Low
TKT-10041,DDoS attack in progress – site unreachable,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Login Issue,Regular,Chat,6,0.89,High,High
TKT-10042,Payment processing delayed by 2-3 minutes,The bulk email export feature is not functioning correctly. Files download but appear empty. This affects our marketing team's workflow.,Technical Bug,Regular,Email,6,19.64,Medium,Medium
TKT-10043,Account suspended unexpectedly – urgent,All payment transactions are failing with error code 500. Our entire e-commerce pipeline is halted. Customers cannot complete purchases. We are losing thousands per hour.,Security Problem,Regular,Phone Call,3,0.43,High,High
TKT-10044,Update FAQ section,There is a small spelling error on the help page – 'recieve' should be 'receive'. Minor but worth fixing.,Other,Premium,Email,1,22.07,Medium,Low
TKT-10045,Two-factor authentication failing sometimes,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Technical Bug,Premium,Phone Call,6,18.49,Medium,Medium
TKT-10046,Improve onboarding guide,There is a small spelling error on the help page – 'recieve' should be 'receive'. Minor but worth fixing.,Feature Request,Regular,Email,3,51.71,Low,Low
TKT-10047,Export to PDF producing blank file,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Feature Request,Premium,Email,5,16.84,Medium,Medium
TKT-10048,Profile update not saving properly,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Security Problem,Premium,Phone Call,4,13.84,Medium,Medium
TKT-10049,Critical payment failure affecting all users,We have detected unauthorized access attempts and a possible data breach. Sensitive customer PII may be at risk. Security team needs to investigate immediately.,Feature Request,Premium,Email,8,0.37,High,High
TKT-10050,Report generation taking too long,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Payment Issue,Premium,Chat,4,12.61,Medium,Medium
TKT-10051,Profile update not saving properly,Payment processing is taking 3-5 minutes instead of the usual 10 seconds. Customers are complaining but transactions are eventually completing.,Security Problem,Premium,Email,4,5.64,Medium,Medium
TKT-10052,Change password label text suggestion,Many of our users prefer working in dark environments. A dark mode toggle would greatly improve their experience.,Feature Request,Regular,Email,3,8.36,Low,Low
TKT-10053,Search results returning outdated data,Two-factor authentication codes are sometimes not being delivered via SMS. Users have to retry 2-3 times to receive the code.,Other,Regular,Phone Call,4,12.64,Medium,Medium
TKT-10054,Two-factor authentication failing sometimes,The dashboard KPI cards are showing numbers from last month instead of the current period. Users noticed the discrepancy during a board meeting.,Server Down,Regular,Phone Call,4,9.55,Medium,Medium
TKT-10055,Payment gateway rejected all transactions,The database has corrupted records in the orders table. Multiple customers are reporting missing orders and wrong billing. Rollback may be necessary.,Security Problem,Premium,Chat,4,2.85,High,High
TKT-10056,Two-factor authentication failing sometimes,Some users are reporting they cannot log in. The issue appears intermittent and affects about 20% of our user base. It started around 2 hours ago.,Payment Issue,Premium,Chat,6,3.9,Medium,Medium
